#['main.py', '--data-set=cifar10', '--batch-size=1024', '--lr=1e-4', '--epochs=50', '--constraint=ClassSimilarity(eps=24/255, delta=0.1)', '--oracle-steps=30', '--oracle-restarts=3', '--delay=10', '--logic=YG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09657118055555555,0.0,0.0,0.0,22.4149169921875,0.9998915195465088,0.9907768964767456,1.0,0.9989149570465088,0.0,0.0,1.0,1.0,0.0398220494389534,0.0
1,2.0569025675455728,0.5615230003992716,0.805787722269694,1.0,1.0,0.2506103515625,0.19734700520833334,0.19655354817708334,0.3196614583333333,0.2800564236111111,0.24153645833333334,59.08132600784302,21.456910371780396,0.6286892294883728,0.8034939169883728,0.5941840410232544,0.5869140625,0.5550130009651184,0.5018446445465088,0.498046875,0.5394965410232544,0.6382378339767456,0.7186415195465088
2,1.7474255561828613,0.8188908100128174,0.9619320233662924,1.0,1.0,0.3575846354166667,0.3389485677083333,0.2804361979166667,0.384765625,0.4626736111111111,0.2827690972222222,59.616779088974,22.27492618560791,0.7008463740348816,0.7430555820465088,0.7591145634651184,0.6839192509651184,0.6779513955116272,0.6723090410232544,0.5738932490348816,0.5502387285232544,0.7307942509651184,0.6376953125
3,1.5888161659240723,0.8201573689778646,0.9623172283172607,1.0,1.0,0.4168497721354167,0.4121907552083333,0.28460693359375,0.3856336805555556,0.4833984375,0.22786458333333334,59.795013427734375,21.464539766311646,0.8014323115348816,0.7906901240348816,0.6570095419883728,0.666015625,0.6917317509651184,0.6103515625,0.5502387285232544,0.5337456464767456,0.8856337070465088,0.6656901240348816
4,1.5032847722371419,0.809701681137085,0.9580390453338623,1.0,1.0,0.4492390950520833,0.4423421223958333,0.26531982421875,0.4120008680555556,0.5285373263888888,0.2289496527777778,58.426429748535156,21.88582444190979,0.875108540058136,0.7883029580116272,0.7506510615348816,0.6675347089767456,0.6860893964767456,0.6746962070465088,0.459526926279068,0.5872395634651184,0.9080946445465088,0.6059027910232544
5,1.4465963045756023,0.8043502966562907,0.9518353144327799,1.0,1.0,0.4736531575520833,0.4601643880208333,0.249755859375,0.3991970486111111,0.5358072916666666,0.20789930555555555,57.41542911529541,21.00989294052124,0.8508029580116272,0.8017578125,0.7865668535232544,0.7007378339767456,0.735460102558136,0.6960720419883728,0.439453125,0.6416015625,0.9090712070465088,0.6336805820465088
6,1.40433136622111,0.7932106653849283,0.9489971001942953,1.0,1.0,0.4888509114583333,0.4795125325520833,0.24623616536458334,0.4198133680555556,0.5748697916666666,0.2263454861111111,60.082202434539795,21.37517738342285,0.8759765625,0.7912326455116272,0.8505859375,0.6942274570465088,0.7062717080116272,0.7332899570465088,0.4237196147441864,0.6325954794883728,0.9273003339767456,0.600694477558136
7,1.362972895304362,0.7878837585449219,0.946668783823649,1.0,1.0,0.5073445638020834,0.4891357421875,0.24761962890625,0.4266493055555556,0.5809461805555556,0.2094184027777778,57.79047608375549,21.789325952529907,0.8734809160232544,0.8169487714767456,0.7894965410232544,0.6773003339767456,0.7182074785232544,0.7303602695465088,0.4453125,0.6834852695465088,0.9087456464767456,0.6028645634651184
8,1.3238521416982014,0.7759956518809,0.945364793141683,1.0,1.0,0.5207926432291666,0.5041097005208334,0.24715169270833334,0.4302300347222222,0.5848524305555556,0.2153862847222222,57.826998710632324,21.98727774620056,0.8723958134651184,0.7909071445465088,0.8186848759651184,0.7136501669883728,0.7650824785232544,0.7430555820465088,0.3923611044883728,0.7316623330116272,0.9140625,0.6150173544883728
9,1.2981979846954346,0.7731233437856039,0.9461852709452311,1.0,1.0,0.5316975911458334,0.51068115234375,0.25531005859375,0.427734375,0.5546875,0.22233072916666666,58.09766221046448,20.780781507492065,0.8629557490348816,0.8659939169883728,0.7719184160232544,0.6867404580116272,0.7170138955116272,0.7024739384651184,0.4684244692325592,0.6873915195465088,0.9296875,0.6470268964767456
