#['main.py', '--data-set=cifar10', '--batch-size=1024', '--lr=1e-4', '--epochs=50', '--constraint=ClassSimilarity(eps=24/255, delta=0.1)', '--oracle-steps=30', '--oracle-restarts=3', '--delay=10', '--logic=GD']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09657118055555555,0.0,0.0,0.0,17.823094129562378,0.9944661259651184,0.9465060830116272,1.0,0.9967448115348816,0.0,0.0,1.0,1.0,0.0016276041278615594,0.0023871527519077063
1,2.0569025675455728,0.4704576333363851,0.7329862117767334,1.0,1.0,0.2506103515625,0.19734700520833334,0.2716064453125,0.3014322916666667,0.24967447916666666,0.4175347222222222,46.69768142700195,16.67021369934082,0.683702290058136,0.6978081464767456,0.7601996660232544,0.5396050214767456,0.619140625,0.5218098759651184,0.5423176884651184,0.6548393964767456,0.6511501669883728,0.7347005009651184
2,1.7474255561828613,0.7953478495279948,0.97437850634257,1.0,1.0,0.3575846354166667,0.3389485677083333,0.5512288411458334,0.3653428819444444,0.4389105902777778,0.7709418402777778,46.42502474784851,18.100059747695923,0.845811665058136,0.5673828125,0.8986545205116272,0.628038227558136,0.892686665058136,0.6168619990348816,0.8011067509651184,0.8180338740348816,0.7430555820465088,0.6128472089767456
3,1.5888161659240723,0.8503851095835367,0.993390957514445,1.0,1.0,0.4168497721354167,0.4121907552083333,0.7436319986979166,0.3634982638888889,0.4608289930555556,0.8383246527777778,48.719266414642334,16.740556001663208,0.884874165058136,0.631944477558136,0.900390625,0.609483540058136,0.9527994990348816,0.568359375,0.8745659589767456,0.8629557490348816,0.8461371660232544,0.6424696445465088
4,1.5032847722371419,0.8706219991048177,0.996992826461792,1.0,1.0,0.4492390950520833,0.4423421223958333,0.7513020833333334,0.3863932291666667,0.4871961805555556,0.8272569444444444,46.89728331565857,16.565999031066895,0.936631977558136,0.6307508945465088,0.9478081464767456,0.630967915058136,0.9750434160232544,0.6004774570465088,0.8446180820465088,0.8625217080116272,0.8671875,0.6144748330116272
5,1.4465963045756023,0.8823989232381185,0.997715950012207,1.0,1.0,0.4736531575520833,0.4601643880208333,0.72247314453125,0.3624131944444444,0.5072699652777778,0.7669270833333334,45.94173979759216,16.70455050468445,0.9192708134651184,0.6598307490348816,0.9558376669883728,0.7509765625,0.9876301884651184,0.646592915058136,0.7900390625,0.8761935830116272,0.9032118320465088,0.6520182490348816
6,1.40433136622111,0.8874508539835612,0.9984807173411051,1.0,1.0,0.4888509114583333,0.4795125325520833,0.69891357421875,0.3827039930555556,0.5503472222222222,0.7422960069444444,46.63600015640259,16.73197293281555,0.9466145634651184,0.6792534589767456,0.9725477695465088,0.7677951455116272,0.9891493320465088,0.6744791865348816,0.7568359375,0.857421875,0.9605034589767456,0.6255425214767456
7,1.362972895304362,0.8913564682006836,0.9985490640004476,1.0,1.0,0.5073445638020834,0.4891357421875,0.7051798502604166,0.3816189236111111,0.5447048611111112,0.7506510416666666,48.11526012420654,16.519508600234985,0.9491102695465088,0.661241352558136,0.9631076455116272,0.827256977558136,0.9847005009651184,0.6957465410232544,0.7723524570465088,0.8601345419883728,0.96875,0.5934244990348816
8,1.3238521416982014,0.891761859258016,0.9985047181447347,1.0,1.0,0.5207926432291666,0.5041097005208334,0.7390340169270834,0.388671875,0.5640190972222222,0.7060546875,45.25520730018616,16.59364080429077,0.9497612714767456,0.6728515625,0.9740668535232544,0.899522602558136,0.9911024570465088,0.7222222089767456,0.7164713740348816,0.9118923544883728,0.9866536259651184,0.6203342080116272
9,1.2981979846954346,0.8954083919525146,0.9988164901733398,1.0,1.0,0.5316975911458334,0.51068115234375,0.753173828125,0.3754340277777778,0.5183376736111112,0.7227647569444444,48.25060439109802,16.57532811164856,0.9440104365348816,0.7485893964767456,0.9598524570465088,0.9226345419883728,0.9878472089767456,0.6794704794883728,0.7645399570465088,0.8646918535232544,0.9969618320465088,0.619249165058136
10,1.2661667664845784,0.8956880569458008,0.9985895156860352,1.0,1.0,0.5445760091145834,0.5123494466145834,0.7640380859375,0.4116753472222222,0.5419921875,0.6815321180555556,45.2910521030426,16.987308025360107,0.95703125,0.73828125,0.975694477558136,0.9321831464767456,0.9827473759651184,0.748046875,0.6748046875,0.9013671875,0.9978298544883728,0.6314018964767456
11,1.2458651065826416,0.8933082421620687,0.9987417062123617,0.9962310791015625,1.0037689208984375,0.5515543619791666,0.5226236979166666,0.789306640625,0.4333767361111111,0.5666232638888888,0.7634548611111112,46.6808180809021,17.028604745864868,0.9485676884651184,0.720703125,0.9627821445465088,0.9136284589767456,0.9692925214767456,0.7229817509651184,0.750108540058136,0.8871527910232544,0.9967448115348816,0.6098090410232544
12,1.2224210103352864,0.896433432896932,0.9979883829752604,0.9939906597137451,1.0060093402862549,0.5608113606770834,0.5317586263020834,0.8296712239583334,0.4418402777777778,0.5556640625,0.7797309027777778,46.541972160339355,17.657011032104492,0.9497612714767456,0.7241753339767456,0.9652777910232544,0.928819477558136,0.9597439169883728,0.7210286259651184,0.7650824785232544,0.9154731035232544,0.9986979365348816,0.6052517294883728
