#['main.py', '--data-set=cifar10', '--batch-size=1024', '--lr=1e-4', '--epochs=50', '--constraint=ClassSimilarity(eps=24/255, delta=0.1)', '--oracle-steps=30', '--oracle-restarts=3', '--delay=10', '--logic=GG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09657118055555555,0.0,0.0,0.0,20.54009461402893,0.9675564169883728,0.9993489384651184,1.0,0.9965277910232544,0.0,0.0,0.9997829794883728,1.0,0.4479166567325592,0.0
1,2.0569025675455728,0.5753687222798666,0.8303459485371908,1.0,1.0,0.2506103515625,0.19734700520833334,0.17287190755208334,0.3044704861111111,0.2708333333333333,0.3233506944444444,57.80121850967407,21.606011390686035,0.6383463740348816,0.8987630009651184,0.8527560830116272,0.420464426279068,0.7625868320465088,0.4029947817325592,0.4664713442325592,0.482964426279068,0.6404079794883728,0.8344184160232544
2,1.7474255561828613,0.8154438336690267,0.985632578531901,1.0,1.0,0.3575846354166667,0.3389485677083333,0.4261678059895833,0.3631727430555556,0.4704861111111111,0.3981119791666667,55.091585874557495,19.953769207000732,0.7681206464767456,0.7681206464767456,0.923828125,0.4975043535232544,0.89453125,0.4822048544883728,0.4853515625,0.5971137285232544,0.7938368320465088,0.75
3,1.5888161659240723,0.8388073444366455,0.9919543266296387,1.0,1.0,0.4168497721354167,0.4121907552083333,0.4952799479166667,0.3561197916666667,0.5086805555555556,0.3397352430555556,55.96026539802551,20.030609369277954,0.8973524570465088,0.7956814169883728,0.8527560830116272,0.4213324785232544,0.9165581464767456,0.3506944477558136,0.4344618022441864,0.5252821445465088,0.9714626669883728,0.7493489384651184
4,1.5032847722371419,0.8432795206705729,0.9951636791229248,1.0,1.0,0.4492390950520833,0.4423421223958333,0.4231160481770833,0.373046875,0.5313585069444444,0.3247612847222222,55.13419055938721,20.781436681747437,0.9453125,0.7703993320465088,0.910264790058136,0.513780415058136,0.900499165058136,0.4652777910232544,0.3902994692325592,0.623046875,0.9837239384651184,0.6162109375
5,1.4465963045756023,0.8468972047170004,0.9964745839436849,1.0,1.0,0.4736531575520833,0.4601643880208333,0.3693033854166667,0.3481987847222222,0.5483940972222222,0.3092447916666667,56.75171637535095,21.120882034301758,0.9328342080116272,0.8132595419883728,0.8689236044883728,0.612413227558136,0.9155815839767456,0.5004340410232544,0.4375,0.6677517294883728,0.9868706464767456,0.6219618320465088
6,1.40433136622111,0.8461128075917562,0.9971795876820883,1.0,1.0,0.4888509114583333,0.4795125325520833,0.33416748046875,0.3585069444444444,0.5846354166666666,0.2940538194444444,56.775752782821655,21.00337290763855,0.9468315839767456,0.813585102558136,0.9197048544883728,0.6409505009651184,0.9144965410232544,0.5679253339767456,0.3866102397441864,0.6818576455116272,0.994249165058136,0.5380859375
7,1.362972895304362,0.846119244893392,0.99761962890625,1.0,1.0,0.5073445638020834,0.4891357421875,0.34332275390625,0.3620876736111111,0.5808376736111112,0.2445746527777778,57.31042122840881,20.25690269470215,0.940538227558136,0.8498263955116272,0.8410373330116272,0.6605902910232544,0.9156901240348816,0.5470920205116272,0.4098307192325592,0.6315104365348816,0.9896918535232544,0.5419921875
8,1.3238521416982014,0.8404714266459147,0.9982767899831136,1.0,1.0,0.5207926432291666,0.5041097005208334,0.3361612955729167,0.3690321180555556,0.6090494791666666,0.2124565972222222,56.4604287147522,21.2736656665802,0.9250217080116272,0.8246527910232544,0.8345268964767456,0.7277560830116272,0.9324001669883728,0.576171875,0.3973524272441864,0.6688368320465088,0.9855685830116272,0.5330946445465088
9,1.2981979846954346,0.8426687717437744,0.9986984729766846,1.0,1.0,0.5316975911458334,0.51068115234375,0.33184814453125,0.3646918402777778,0.5551215277777778,0.20247395833333334,55.29444217681885,20.28596830368042,0.8830295205116272,0.9028862714767456,0.7739800214767456,0.727647602558136,0.933702290058136,0.5490451455116272,0.4625650942325592,0.5436198115348816,0.9939236044883728,0.556640625
10,1.2661667664845784,0.8411266803741455,0.9988820552825928,1.0,1.0,0.5445760091145834,0.5123494466145834,0.3318074544270833,0.3969184027777778,0.5815972222222222,0.1773003472222222,56.75384330749512,20.63905119895935,0.8824869990348816,0.8735893964767456,0.8255208134651184,0.774522602558136,0.939561665058136,0.6451823115348816,0.3756510317325592,0.6077473759651184,0.9927300214767456,0.4787326455116272
11,1.2459948857625325,0.8268587589263916,0.9987808068593343,0.9962378740310669,1.0037622451782227,0.5515340169270834,0.5251057942708334,0.3144327799479167,0.4278428819444444,0.609375,0.19954427083333334,56.071492195129395,20.292394399642944,0.8406032919883728,0.9008246660232544,0.7463107705116272,0.7179904580116272,0.9393446445465088,0.5570746660232544,0.484917551279068,0.5549045205116272,0.9870876669883728,0.5809462070465088
12,1.22307284673055,0.8167150815327963,0.9980080922444662,0.9940180778503418,1.0059818029403687,0.5604248046875,0.5400187174479166,0.3054606119791667,0.44921875,0.6123046875,0.2094184027777778,55.719629764556885,20.279111862182617,0.8040364384651184,0.9241536259651184,0.7052951455116272,0.7434895634651184,0.9166666865348816,0.5096571445465088,0.5519748330116272,0.5120442509651184,0.9925130009651184,0.618272602558136
13,1.1978638966878254,0.8006493250528971,0.996095339457194,0.992923378944397,1.007076621055603,0.5714314778645834,0.5454508463541666,0.2972005208333333,0.4498697916666667,0.6247829861111112,0.1970486111111111,57.639533281326294,20.640907049179077,0.7827690839767456,0.9431423544883728,0.5748698115348816,0.7386067509651184,0.9240451455116272,0.408203125,0.6693793535232544,0.4503038227558136,0.990234375,0.7102864384651184
14,1.1796071529388428,0.7875177065531412,0.9949261347452799,0.9923266172409058,1.0076732635498047,0.5764567057291666,0.5599365234375,0.29327392578125,0.4543185763888889,0.630859375,0.2113715277777778,58.826499700546265,21.080832719802856,0.7493489384651184,0.9612630009651184,0.5609809160232544,0.6911892294883728,0.9357638955116272,0.4264322817325592,0.6896701455116272,0.4527994692325592,0.9898003339767456,0.7311198115348816
