#['main.py', '--data-set=cifar10', '--batch-size=1024', '--lr=1e-4', '--epochs=50', '--constraint=ClassSimilarity(eps=24/255, delta=0.1)', '--oracle-steps=30', '--oracle-restarts=3', '--delay=10', '--logic=LK']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09657118055555555,0.0,0.0,0.0,18.408349990844727,0.963975727558136,0.9994574785232544,0.9998915195465088,0.99609375,0.0,0.0,0.9996744990348816,1.0,0.4638671875,0.0
1,2.0569025675455728,0.6191049814224243,0.8666667143503824,1.0,1.0,0.2506103515625,0.19734700520833334,0.11177571614583333,0.3247612847222222,0.2819010416666667,0.1638454861111111,49.780693769454956,18.65983247756958,0.6567925214767456,0.7710503339767456,0.4805772602558136,0.5549045205116272,0.5228949785232544,0.4633246660232544,0.5531684160232544,0.4977213442325592,0.677734375,0.6974826455116272
2,1.7474255561828613,0.7670631408691406,0.9366175333658854,1.0,1.0,0.3575846354166667,0.3389485677083333,0.21028645833333334,0.3897569444444444,0.4633246527777778,0.1870659722222222,51.583773374557495,18.681386470794678,0.6707899570465088,0.7049696445465088,0.6984592080116272,0.6888020634651184,0.6327040195465088,0.671983540058136,0.602647602558136,0.5116102695465088,0.7391493320465088,0.5921223759651184
3,1.5888161659240723,0.7368762493133545,0.9395531813303629,1.0,1.0,0.4168497721354167,0.4121907552083333,0.22920735677083334,0.3907335069444444,0.4833984375,0.1703559027777778,52.430686712265015,19.103611707687378,0.7699652910232544,0.7690972089767456,0.6286892294883728,0.6889106035232544,0.6605902910232544,0.6279296875,0.5628255009651184,0.5314670205116272,0.885850727558136,0.6391059160232544
4,1.5032847722371419,0.711543083190918,0.9362783432006836,1.0,1.0,0.4492390950520833,0.4423421223958333,0.22635904947916666,0.4203559027777778,0.5281032986111112,0.16569010416666666,52.02061581611633,18.72027564048767,0.8465712070465088,0.7698567509651184,0.7069227695465088,0.6839192509651184,0.6470268964767456,0.7004123330116272,0.4562717080116272,0.5885416865348816,0.8981119990348816,0.5877821445465088
5,1.4465963045756023,0.7002965609232584,0.9251008828481039,1.0,1.0,0.4736531575520833,0.4601643880208333,0.22410074869791666,0.4055989583333333,0.5342881944444444,0.1521267361111111,51.52060508728027,18.6738862991333,0.8251953125,0.779405415058136,0.7634548544883728,0.7118055820465088,0.7087673544883728,0.7156032919883728,0.4371744692325592,0.6478949785232544,0.9000651240348816,0.6232638955116272
6,1.40433136622111,0.6835672855377197,0.9178534348805746,1.0,1.0,0.4888509114583333,0.4795125325520833,0.22615559895833334,0.4255642361111111,0.5746527777777778,0.1589626736111111,51.45994687080383,19.89321994781494,0.8503689169883728,0.7684462070465088,0.8317057490348816,0.7093098759651184,0.6676432490348816,0.7615017294883728,0.403862863779068,0.650499165058136,0.9134114384651184,0.5961371660232544
7,1.362972895304362,0.6751739184061686,0.913258949915568,1.0,1.0,0.5073445638020834,0.4891357421875,0.2274169921875,0.4326171875,0.5812717013888888,0.15364583333333334,50.567471981048584,18.918198347091675,0.8570963740348816,0.7938368320465088,0.7594401240348816,0.6932508945465088,0.6864149570465088,0.751953125,0.4431423544883728,0.689561665058136,0.8923611044883728,0.5985243320465088
8,1.3238521416982014,0.6570263703664144,0.9094646771748861,1.0,1.0,0.5207926432291666,0.5041097005208334,0.22556559244791666,0.4368489583333333,0.5842013888888888,0.1467013888888889,53.43731379508972,18.698734045028687,0.8523220419883728,0.7768012285232544,0.7939453125,0.716796875,0.7318793535232544,0.7631293535232544,0.373046875,0.7365451455116272,0.8937717080116272,0.6226128339767456
9,1.2981979846954346,0.6525230407714844,0.9086971282958984,1.0,1.0,0.5316975911458334,0.51068115234375,0.22713216145833334,0.4282769097222222,0.5571831597222222,0.1496310763888889,51.350549936294556,19.522106170654297,0.8366970419883728,0.852647602558136,0.74609375,0.7019314169883728,0.6830512285232544,0.7326388955116272,0.4376085102558136,0.7006293535232544,0.9150390625,0.6525607705116272
