#['main.py', '--data-set=mnist', '--batch-size=4096', '--lr=1e-5', '--epochs=50', '--constraint=EvenOdd(eps=0.4, delta=0.6, gamma=3.0)', '--oracle-steps=20', '--oracle-restarts=10', '--delay=10', '--logic=GG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1
17,1.1035711424691337,0.8752448218209403,0.917759759085519,0.9990387558937073,1.000961184501648,0.7368512834821429,0.4401332310267857,0.38150460379464285,0.841552734375,0.4688720703125,0.331298828125,69.89249682426453,19.244088411331177,0.5682373046875,0.72119140625
18,1.0571932792663574,0.8687857219151088,0.9111136027744838,0.998905599117279,1.0010944604873657,0.7446114676339286,0.43545968191964285,0.38685825892857145,0.845947265625,0.4478759765625,0.3321533203125,69.92822194099426,19.412599325180054,0.579833984375,0.7015380859375
19,1.0133628845214844,0.8624698093959263,0.9053897857666016,0.9987751245498657,1.0012248754501343,0.7518833705357143,0.4339599609375,0.3917933872767857,0.8487548828125,0.4349365234375,0.3310546875,70.14093828201294,19.376277208328247,0.587890625,0.680419921875
20,0.9719899722508022,0.8551900046212333,0.8984135219029018,0.9986475110054016,1.0013525485992432,0.7574637276785714,0.43057686941964285,0.3987339564732143,0.8529052734375,0.41455078125,0.3394775390625,69.19003772735596,19.54901885986328,0.608154296875,0.6441650390625
21,0.9348944255283901,0.8461576870509556,0.8908239773341587,0.9985229969024658,1.0014770030975342,0.7642822265625,0.43722098214285715,0.41446358816964285,0.858154296875,0.4022216796875,0.36279296875,69.78031015396118,19.520479917526245,0.615966796875,0.6163330078125
22,0.9036148616245815,0.8387809480939593,0.8845351764133998,0.998401939868927,1.0015981197357178,0.7724260602678571,0.44349888392857145,0.43509347098214285,0.8631591796875,0.406494140625,0.3883056640625,68.78707981109619,19.124354124069214,0.6357421875,0.5928955078125
23,0.8730828421456474,0.8314198085239956,0.8760754040309361,0.998283326625824,1.0017166137695312,0.7764195033482143,0.45166015625,0.4539097377232143,0.864501953125,0.40380859375,0.4124755859375,68.87247514724731,19.514608144760132,0.656982421875,0.564697265625
24,0.8506304195949009,0.8248144558497837,0.8700944355555943,0.9981676340103149,1.001832365989685,0.777587890625,0.4529331752232143,0.4690464564732143,0.87060546875,0.3997802734375,0.4345703125,68.54837965965271,19.40823006629944,0.66943359375,0.5601806640625
25,0.8230971608843122,0.8192731993538993,0.8625128609793526,0.9980538487434387,1.0019460916519165,0.7863943917410714,0.45741489955357145,0.48385184151785715,0.8740234375,0.4140625,0.4686279296875,69.52638649940491,19.516974687576294,0.6739501953125,0.5711669921875
26,0.7941517148699079,0.8141940661839077,0.8552495411464146,0.9979425668716431,1.0020575523376465,0.7938406808035714,0.46498325892857145,0.49161202566964285,0.876953125,0.415283203125,0.487060546875,69.98666667938232,19.41576886177063,0.6920166015625,0.5489501953125
27,0.7769526754106794,0.8097772598266602,0.8493146896362305,0.997833251953125,1.002166748046875,0.7965436662946429,0.4693080357142857,0.5029296875,0.879150390625,0.427978515625,0.5035400390625,68.47620034217834,19.12946391105652,0.6944580078125,0.5570068359375
