#['main.py', '--data-set=mnist', '--batch-size=4096', '--lr=1e-5', '--epochs=50', '--constraint=EvenOdd(eps=0.4, delta=0.6, gamma=3.0)', '--oracle-steps=20', '--oracle-restarts=10', '--delay=10', '--logic=LK']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0814208984375,1.0,1.0,0.0,19.678351402282715,1.0,1.0
1,2.2927423204694475,0.9762325286865234,0.9862645012991769,1.0,1.0,0.11478097098214286,1.0,1.0,0.155029296875,1.0,1.0,68.02431607246399,19.372502326965332,1.0,1.0
2,2.2460731778826033,0.980874947139195,0.9889892169407436,1.0,1.0,0.24937220982142858,1.0,1.0,0.56689453125,1.0,1.0,67.94767498970032,19.04394555091858,1.0,1.0
3,2.1874848774501254,0.9845438003540039,0.9903653689793178,1.0,1.0,0.37112862723214285,0.9997035435267857,0.9996337890625,0.6873779296875,1.0,1.0,67.95582270622253,19.020259618759155,1.0,1.0
4,2.117551939828055,0.9864804404122489,0.9908996990748814,1.0,1.0,0.45066615513392855,0.9924490792410714,0.9924665178571429,0.7236328125,0.9981689453125,0.9990234375,68.54379272460938,19.180296421051025,0.9990234375,1.0
5,2.0383923394339427,0.9870913369315011,0.9909356662205288,1.0,1.0,0.5193045479910714,0.9584263392857143,0.9607456752232143,0.759765625,0.9539794921875,0.9671630859375,68.71535682678223,19.42671227455139,0.9671630859375,1.0
6,1.950106484549386,0.9861668178013393,0.9903673444475446,1.0,1.0,0.5682721819196429,0.8961879185267857,0.9080461774553571,0.7716064453125,0.892333984375,0.9193115234375,67.95628023147583,19.044164896011353,0.9193115234375,1.0
7,1.8610143661499023,0.9840279306684222,0.9891836983816964,1.0,1.0,0.5959821428571429,0.8323625837053571,0.8526611328125,0.7828369140625,0.8216552734375,0.86572265625,69.28579616546631,19.481834173202515,0.8658447265625,0.9998779296875
8,1.7620468139648438,0.9783421925136021,0.9859916142054966,1.0,1.0,0.6244070870535714,0.748046875,0.7841622488839286,0.7899169921875,0.7689208984375,0.8275146484375,69.03571057319641,19.547598123550415,0.8309326171875,0.99658203125
9,1.6650934219360352,0.9733322007315499,0.9837261608668736,1.0,1.0,0.6482456752232143,0.6827915736607143,0.7291957310267857,0.7974853515625,0.7109375,0.7855224609375,69.6467616558075,19.53623867034912,0.80615234375,0.9793701171875
10,1.5710599081856864,0.9609900202069964,0.9788197789873395,1.0,1.0,0.6639578683035714,0.610107421875,0.6675851004464286,0.8016357421875,0.6478271484375,0.7322998046875,68.91906785964966,19.01749563217163,0.793212890625,0.9390869140625
11,1.4858886173793249,0.9078161375863212,0.9611179488045829,0.9998849630355835,1.000115156173706,0.6695905412946429,0.5215715680803571,0.5980747767857143,0.76220703125,0.376220703125,0.484130859375,68.6150016784668,19.519355535507202,0.4833984375,0.999755859375
12,1.5356186458042689,0.5144768101828439,0.7145375524248395,0.999958872795105,1.000041127204895,0.5732945033482143,0.5998186383928571,0.40440150669642855,0.5843505859375,0.991943359375,0.8692626953125,68.296555519104,19.303183555603027,0.0,1.0
13,1.6132377896990096,0.25061443873814176,0.3519773142678397,1.0000876188278198,0.9999123811721802,0.5054059709821429,0.9378662109375,0.8517717633928571,0.6553955078125,0.9984130859375,0.9697265625,69.34148168563843,19.351178646087646,0.0,1.0
14,1.4280403682163783,0.2639553206307547,0.36188180106026785,1.0002174377441406,0.9997826218605042,0.5912039620535714,0.9103131975446429,0.8159877232142857,0.7196044921875,0.9974365234375,0.97119140625,69.83887457847595,19.48119807243347,0.0,1.0
15,1.3517566408429826,0.21658667496272496,0.29454166548592703,1.0003454685211182,0.9996544718742371,0.6208670479910714,0.9540318080357143,0.9073311941964286,0.751953125,1.0,0.996826171875,68.70100688934326,19.096100568771362,0.0,1.0
16,1.2722717012677873,0.1895171914781843,0.25655405861990793,1.0004695653915405,0.9995304942131042,0.6530936104910714,0.970703125,0.9396449497767857,0.775634765625,1.0,0.9979248046875,69.6307098865509,19.177944660186768,0.0,1.0
17,1.2125466210501534,0.1621312073298863,0.2226245743887765,1.0005908012390137,0.9994091987609863,0.6705671037946429,0.9824393136160714,0.9594377790178571,0.7899169921875,1.0,0.9993896484375,68.35670304298401,19.067490339279175,0.0,1.0
18,1.1591550282069616,0.13860256331307547,0.19033804961613246,1.000708818435669,0.9992912411689758,0.6858258928571429,0.9888741629464286,0.9733712332589286,0.799560546875,1.0,0.99951171875,69.17873883247375,19.446786642074585,0.0,1.0
19,1.1122189930507116,0.117326591696058,0.16473509584154403,1.0008233785629272,0.9991767406463623,0.6979631696428571,0.9932163783482143,0.9801548549107143,0.8084716796875,1.0,1.0,68.74320793151855,19.35758328437805,0.0,1.0
20,1.066490650177002,0.10114001376288277,0.1444906166621617,1.0009338855743408,0.999066174030304,0.7084263392857143,0.9954136439732143,0.9846365792410714,0.8172607421875,1.0,1.0,68.8447208404541,19.100376844406128,0.0,1.0
21,1.0254574503217424,0.08664554357528687,0.1289437072617667,1.0010405778884888,0.998959481716156,0.7180698939732143,0.9970528738839286,0.9872000558035714,0.82275390625,1.0,0.9998779296875,69.47784280776978,19.542749881744385,0.0,1.0
